,Unnamed: 0,Ticker,Open Price,Date,Volume,Ticker2,Open Price2,Date2,Volume2
1452,1871,AVA,24.87,2012-02-28,6600498.0,AVA,25.67,2013-02-27,5958007.0
1453,1872,AVA,25.49,2013-02-26,10201098.0,AVA,29.66,2014-02-26,8100146.0
1454,1873,AVA,29.66,2014-02-26,8100146.0,AVA,33.86,2015-02-26,9977119.88
1455,1874,AVA,34.49,2015-02-25,11904430.44,AVA,38.79,2016-02-25,17299292.669999998
1456,1875,AVA,37.78,2016-02-24,28362314.94,AVA,38.91,2017-02-23,23664906.36
1457,1876,AVA,39.2,2017-02-22,22066346.4,AVA,49.06,2018-02-22,51522713.88
1458,1877,AVA,49.65,2018-02-21,32582862.15,AVA,41.1,2019-02-21,34229313.0
1459,1878,AVA,41.55,2019-02-20,40368899.7,AVA,51.77,2020-02-20,15164261.32
1460,1880,AVAV,32.25,2011-06-22,87039525.0,AVAV,25.5,2012-06-21,12140550.0
1461,1881,AVAV,27.5,2012-06-27,33110000.0,AVAV,19.99,2013-06-27,8043975.999999999
1462,1882,AVAV,20.66,2013-05-28,4516276.0,AVAV,32.22,2014-05-28,4327146.0
1463,1883,AVAV,32.99,2014-07-09,102760551.0,AVAV,26.84,2015-07-09,5129124.0
1464,1884,AVAV,27.8,2015-07-01,29431860.0,AVAV,26.89,2016-06-30,9756041.57
1465,1885,AVAV,26.7,2016-06-29,25491210.9,AVAV,35.07,2017-06-29,19217623.53
1466,1886,AVAV,30.37,2017-06-28,33182808.66,AVAV,63.92,2018-06-28,58339784.0
1467,1887,AVAV,56.0,2018-06-27,105679224.0,AVAV,55.97,2019-06-27,33090079.67
1468,1888,AVAV,57.0,2019-06-26,78126822.0,AVAV,73.5,2020-06-25,43927789.5
1469,1890,AVB,41.3,2009-03-02,169982540.0,AVB,81.72,2010-03-02,56051748.0
1470,1891,AVB,81.4,2010-03-01,74106560.0,AVB,121.11,2011-03-01,110888316.0
1471,1892,AVB,115.36,2011-02-23,89138672.0,AVB,129.81,2012-02-23,106483143.0
1472,1893,AVB,132.29,2012-02-27,58829363.0,AVB,126.92,2013-02-26,126755004.0
1473,1894,AVB,128.21,2013-02-22,136518008.0,AVB,128.77,2014-02-24,89443642.0
1474,1895,AVB,128.69,2014-03-03,88693148.0,AVB,168.65,2015-03-03,79459953.45
1475,1896,AVB,173.2,2015-02-19,192999531.2,AVB,167.86,2016-02-19,111610785.44
1476,1897,AVB,172.67,2016-02-26,109923966.71,AVB,183.56,2017-02-27,66459366.48
1477,1898,AVB,183.0,2017-02-24,94416837.0,AVB,160.42,2018-02-26,89485163.55999999
1478,1899,AVB,157.93,2018-02-23,81263671.15,AVB,196.33,2019-02-25,89667248.61
1479,1900,AVB,200.0,2019-03-15,194094000.0,AVB,175.84,2020-03-16,257253040.8
1480,1902,AVEO,136.2,2011-04-12,14954759.999999998,AVEO,114.4,2012-04-11,52280800.0
1481,1903,AVEO,124.3,2012-03-30,32392580.0,AVEO,74.4,2013-04-01,55018800.00000001
1482,1904,AVEO,69.1,2013-03-11,39407730.0,AVEO,19.5,2014-03-11,17033250.0
1483,1905,AVEO,18.8,2014-03-13,23142800.0,AVEO,14.2,2015-03-13,14456807.0
1484,1906,AVEO,17.2,2015-03-06,348274733.2,AVEO,9.9,2016-03-07,2875712.4
1485,1907,AVEO,10.9,2016-03-15,8764046.9,AVEO,8.6,2017-03-15,1019942.8
1486,1908,AVEO,8.26,2017-03-22,1833777.82,AVEO,29.9,2018-03-22,32027564.4
1487,1909,AVEO,30.1,2018-03-13,62724155.900000006,AVEO,5.7,2019-03-13,10899209.4
1488,1910,AVEO,9.52,2019-04-30,12723927.44,AVEO,4.28,2020-04-29,3799424.48
1489,1912,AVGO,260.41,2017-12-13,697284232.4000001,AVGO,258.46,2018-12-13,1404861656.14
1490,1913,AVGO,253.99,2018-12-17,1428396581.7,AVGO,317.97,2019-12-16,1206164504.16
1491,1915,AVGO_old,26.3,2010-12-15,47353150.0,AVGO_old,28.87,2011-12-15,69048379.0
1492,1916,AVGO_old,28.92,2011-12-16,261332688.00000003,AVGO_old,31.39,2012-12-17,221560037.0
1493,1917,AVGO_old,31.39,2012-12-17,221560037.0,AVGO_old,50.35,2013-12-17,439203050.0
1494,1918,AVGO_old,51.43,2013-12-20,148576127.0,AVGO_old,101.0,2014-12-22,160830683.0
1495,1919,AVGO_old,100.62,2014-12-29,138017536.02,AVGO_old,147.0,2015-12-29,331275231.0
1496,1920,AVGO_old,144.93,2015-12-17,353314556.97,AVGO_old,180.75,2016-12-16,750853755.75
1497,1921,AVGR,5244.0,2015-02-12,241355100.0,AVGR,6228.0,2016-02-12,256612284.0
1498,1922,AVGR,5172.0,2016-03-08,470341680.0,AVGR,860.0,2017-03-08,227979120.0
1499,1923,AVGR,820.0,2017-03-15,108747580.0,AVGR,11.7,2018-03-15,6193137.6
1500,1924,AVGR,12.2,2018-04-26,2386576.2,AVGR,6.2,2019-04-26,19529758.2
1501,1925,AVGR,6.3,2019-03-06,42653003.4,AVGR,0.58,2020-03-05,244680.54
1502,1928,AVLR,41.78,2019-02-07,10897978.76,AVLR,88.7,2020-02-07,32963935.8
1503,1931,AVNS,44.02,2015-02-12,21227280.380000003,AVNS,23.47,2016-02-12,5592337.72
1504,1932,AVNS,25.0,2016-02-29,22091150.0,AVNS,40.36,2017-02-28,27368277.44
1505,1933,AVNS,41.34,2017-02-27,30096842.880000003,AVNS,49.25,2018-02-27,33345008.0
1506,1934,AVNS,49.25,2018-02-27,33345008.0,AVNS,50.15,2019-02-27,40030432.1
1507,1935,AVNS,53.45,2019-02-26,34133544.15,AVNS,34.46,2020-02-26,17652927.580000002
1508,1937,AVNW,18.9,2011-08-08,7542989.999999999,AVNW,13.02,2012-08-07,2322768.0
1509,1938,AVNW,13.74,2012-09-04,1413846.0,AVNW,15.18,2013-09-04,5751702.0
1510,1939,AVNW,15.66,2013-09-23,4566456.0,AVNW,10.14,2014-09-23,3613896.0
1511,1940,AVNW,10.26,2014-09-22,2052000.0,AVNW,6.96,2015-09-21,649409.76
1512,1941,AVNW,6.12,2015-10-01,2397479.4,AVNW,4.57,2016-09-30,30372.22
1513,1942,AVNW,4.45,2016-09-09,119157.65,AVNW,8.1,2017-09-11,396827.1
1514,1943,AVNW,7.7,2017-09-06,133872.2,AVNW,8.84,2018-09-06,361175.88
1515,1944,AVNW,8.05,2018-08-28,332271.80000000005,AVNW,6.89,2019-08-28,453692.72
1516,1946,AVP,19.04,2009-02-20,122137792.0,AVP,30.35,2010-02-22,79693030.0
1517,1947,AVP,30.16,2010-02-25,184178072.0,AVP,27.99,2011-02-25,108939879.0
1518,1948,AVP,28.34,2011-02-24,131846182.0,AVP,19.14,2012-02-24,229322082.0
1519,1949,AVP,18.84,2012-02-29,76245480.0,AVP,19.38,2013-02-28,87056898.0
1520,1950,AVP,19.59,2013-03-05,50853681.0,AVP,15.26,2014-03-05,60350248.0
1521,1951,AVP,15.48,2014-02-26,62876664.0,AVP,8.45,2015-02-26,50375680.55
1522,1952,AVP,8.45,2015-02-24,67082031.89999999,AVP,3.64,2016-02-24,18099779.88
1523,1953,AVP,3.65,2016-02-23,18339910.45,AVP,4.73,2017-02-22,32701446.250000004
1524,1954,AVP,4.73,2017-02-22,32701446.250000004,AVP,2.73,2018-02-22,8565658.92
1525,1955,AVP,2.73,2018-02-22,8565658.92,AVP,2.97,2019-02-22,52841586.6
1526,1958,AVT,25.47,2009-08-25,30474855.0,AVT,23.08,2010-08-25,58182371.99999999
1527,1959,AVT,24.25,2010-08-13,29982700.0,AVT,27.98,2011-08-15,43950984.0
1528,1960,AVT,25.6,2011-09-09,42419200.0,AVT,32.72,2012-09-10,16553048.0
1529,1961,AVT,32.32,2012-08-10,29181728.0,AVT,38.8,2013-08-12,21301200.0
1530,1962,AVT,38.92,2013-08-09,24679172.0,AVT,41.41,2014-08-11,56640597.99999999
1531,1963,AVT,40.9,2014-08-08,62409310.0,AVT,43.72,2015-08-10,39604811.28
1532,1964,AVT,43.19,2015-08-07,48707133.79,AVT,40.77,2016-08-08,46445591.7
1533,1965,AVT,41.3,2016-08-12,37484499.5,AVT,37.35,2017-08-14,34965837.45
1534,1966,AVT,37.45,2017-08-17,30381499.750000004,AVT,47.04,2018-08-17,28420862.4
1535,1967,AVT,47.04,2018-08-17,28420862.4,AVT,42.01,2019-08-19,45931591.49
1536,1972,AVXL,16.8,2010-11-12,3978206.4,AVXL,6.6,2011-11-14,148830.0
1537,1973,AVXL,5.48,2011-12-22,189575.12,AVXL,3.44,2012-12-21,165980.0
1538,1974,AVXL,3.12,2012-12-31,68796.0,AVXL,1.0,2013-12-31,74811.0
1539,1975,AVXL,1.04,2013-12-30,152277.84,AVXL,0.8,2014-12-30,254092.8
1540,1976,AVXL,0.7,2014-12-29,133435.4,AVXL,5.96,2015-12-29,39255373.12
1541,1977,AVXL,6.61,2015-12-11,13607854.97,AVXL,4.65,2016-12-12,11714317.2
1542,1978,AVXL,4.65,2016-12-12,11714317.2,AVXL,3.79,2017-12-11,4320490.09
1543,1979,AVXL,3.79,2017-12-11,4320490.09,AVXL,2.12,2018-12-11,329990.72000000003
1544,1980,AVXL,2.11,2018-12-12,303861.1,AVXL,2.37,2019-12-12,1999649.58
1545,1982,AVY,31.64,2010-03-01,33525744.0,AVY,40.05,2011-03-01,55741589.99999999
1546,1983,AVY,39.42,2011-02-28,41186016.0,AVY,31.08,2012-02-28,23045820.0
1547,1984,AVY,30.68,2012-02-27,29839368.0,AVY,38.98,2013-02-26,35039122.0
1548,1985,AVY,39.9,2013-02-27,38790780.0,AVY,49.38,2014-02-27,39662016.0
1549,1986,AVY,49.09,2014-02-26,34716448.0,AVY,54.39,2015-02-26,28177283.4
1550,1987,AVY,54.58,2015-02-25,26228746.48,AVY,65.16,2016-02-25,42244205.4
1551,1988,AVY,63.48,2016-02-24,46391882.28,AVY,80.14,2017-02-23,56574592.58
1552,1989,AVY,80.14,2017-02-23,56574592.58,AVY,118.38,2018-02-23,53647211.64
1553,1990,AVY,117.08,2018-02-21,53326778.84,AVY,106.15,2019-02-21,98499451.05
1554,1991,AVY,106.57,2019-02-27,45290225.17,AVY,117.1,2020-02-27,102258394.7
1555,1994,AVYA,16.23,2018-11-12,9421222.86,AVYA,12.49,2019-11-12,7303739.83
1556,1996,AWI,42.5,2011-02-28,42674250.0,AWI,50.14,2012-02-28,11823012.0
1557,1997,AWI,48.59,2012-02-27,30966407.000000004,AWI,50.01,2013-02-26,25715142.0
1558,1998,AWI,50.69,2013-02-27,18070985.0,AWI,54.99,2014-02-27,47593845.0
1559,1999,AWI,55.53,2014-02-24,286073901.0,AWI,54.72,2015-02-24,105798219.84
1560,2000,AWI,57.73,2015-02-23,209088130.44,AWI,38.75,2016-02-23,30160636.25
1561,2001,AWI,40.36,2016-02-22,109782711.32,AWI,40.35,2017-02-21,9761593.05
1562,2002,AWI,45.5,2017-02-27,78322972.0,AWI,59.9,2018-02-27,46722718.8
1563,2003,AWI,58.95,2018-02-26,51775254.45,AWI,74.05,2019-02-26,36714138.1
1564,2004,AWI,86.5,2019-04-30,59404221.0,AWI,81.43,2020-04-29,55771162.71000001
1565,2006,AWK,21.37,2010-03-09,20002320.0,AWK,27.84,2011-03-09,31286592.0
1566,2007,AWK,27.32,2011-02-28,33729272.0,AWK,34.18,2012-02-28,45124436.0
1567,2008,AWK,34.18,2012-02-28,45124436.0,AWK,39.58,2013-02-27,31386940.0
1568,2009,AWK,39.51,2013-03-01,39087243.0,AWK,44.66,2014-03-03,43677480.0
1569,2010,AWK,43.75,2014-02-27,23572500.0,AWK,53.79,2015-02-27,58935658.98
1570,2011,AWK,54.64,2015-02-25,67031641.68,AWK,67.6,2016-02-25,91326180.4
1571,2012,AWK,67.6,2016-02-25,91326180.4,AWK,75.71,2017-02-24,65576292.20999999
1572,2013,AWK,73.81,2017-02-21,75637387.98,AWK,79.04,2018-02-21,97851440.96
1573,2014,AWK,80.25,2018-02-20,79065189.0,AWK,97.73,2019-02-20,179016438.85
1574,2015,AWK,97.9,2019-02-19,81679438.5,AWK,139.07,2020-02-19,179212833.64
1575,2017,AWRE,3.49,2011-02-11,86203.0,AWRE,3.21,2012-02-13,211539.0
1576,2018,AWRE,4.16,2012-02-21,131872.0,AWRE,5.01,2013-02-20,193887.0
1577,2019,AWRE,4.95,2013-02-19,199485.0,AWRE,6.57,2014-02-19,215496.0
1578,2020,AWRE,6.59,2014-02-18,296550.0,AWRE,4.45,2015-02-18,321290.0
1579,2021,AWRE,4.46,2015-02-13,189996.0,AWRE,3.21,2016-02-16,48994.23
1580,2022,AWRE,3.24,2016-02-12,31965.840000000004,AWRE,5.2,2017-02-13,246287.6
1581,2023,AWRE,4.9,2017-02-10,307068.30000000005,AWRE,4.31,2018-02-12,52194.1
1582,2024,AWRE,4.15,2018-02-28,32805.75,AWRE,4.0,2019-02-28,20672.0
1583,2025,AWRE,3.76,2019-02-19,21744.08,AWRE,3.4,2020-02-19,34567.8
1584,2027,AWX,2.91,2011-03-11,21825.0,AWX,3.66,2012-03-12,12078.0
1585,2029,AWX,4.15,2013-03-15,34860.0,AWX,5.6,2014-03-17,17920.0
1586,2033,AWX,1.98,2017-08-31,10824.66,AWX,4.25,2018-08-31,1057544.5
1587,2038,AXGN,2.8,2012-03-15,20160.0,AXGN,4.01,2013-03-15,48120.0
1588,2039,AXGN,4.02,2013-08-07,32160.0,AXGN,2.42,2014-08-07,68728.0
1589,2040,AXGN,3.97,2014-03-06,132598.0,AXGN,3.4,2015-03-06,219300.0
1590,2041,AXGN,3.19,2015-03-05,334312.0,AXGN,5.42,2016-03-04,591305.74
1591,2042,AXGN,5.32,2016-02-29,397015.64,AXGN,10.6,2017-02-28,1274226.0
1592,2043,AXGN,10.55,2017-03-01,2005882.05,AXGN,31.0,2018-03-01,42519600.0
1593,2044,AXGN,31.45,2018-02-28,15048101.65,AXGN,18.11,2019-02-28,7676756.56
1594,2045,AXGN,21.87,2019-04-30,15626508.66,AXGN,9.31,2020-04-29,6195842.24
